tweet
हरेक दिन खुलेर जिउनुस् दुई चार जनाले कुरा काटेर केही फरक पर्दैन!शुभ_बिहानी शुभ_दिन ️
"माया के हो त्यो त थाहा भएन,तर कसैले मायाको कुरा गर्छ नि कसम तिमीलाई मात्र सम्झन्छु!!शुभ_प्रभात "
"हरेक ठाउमा अधिकार मात्रै नखोज,कतै संस्कार र मानवता पनि बुझ्नुपर्छ.!शुभ_बिहानी"
पैसा को पछि दौड्ने लाई थाहा हुदैन्नको आफ्नो को पराइ!!!शुभ_बिहानी️️️
हिजो 15 मिनट हावाहुरी के चल्याथ्यो अब हाम्रो गाउमा 15 दिन बत्ती आउन्न!!शुभ_प्रभात 
"""माग्नु नै छ भने ""मुटु"" बाहेक अरु माग, किन कि मैके  टुटेको बस्तु  ""उपहार"" दिने गरेको छैन  शुभ_पल"
उसले याद गर्दैन त म  किन गरुँ भन्ने सोचाइले कति सम्बन्ध अलपत्र परेका हुन्छन!शुभ_बिहानी शुभ_दिन ️
टुटेको बिश्वास      छुटेको बचपन            कहिल्यै पनि फर्काउन नसकिने रैछ   शुभ_प्रभात शुभ_शनिबार ️️️
शुभ बिहानी ।पशुपति नाथले हामी सबैको कल्याण गरून्।माता मनकामना माइ सदैब दाहिना रहुन।
भत्किएको घर टाल्न जस्तो सजिलो कहाँ छ र हजुर भत्कीएको मन टाल्न Good morning ️     शुभ_प्रभात ️
"न बदलियो जिन्दगि नत जमाना , जब सुके रुखका डाली बदलिए पन्छिका ठेगाना शुभ_प्रभात ️️️"
ज़िन्दगीमा यति धेरै खुशी हुनुहोस्कि दु:ख ले नि भनोस सरी म गलत ठाउमा आएछु!शुभ_पल
शुभ बिहानी पशुपति नाथ ले सबैको कल्याण गरून्।
"डट्नुस, लड्नुस, भीड्नुस तर असत्यकोअगाडी आफ्नो शिर कहिल्यै नझुकाउनुस!शुभ बिहानी"
शुभ बिहानी पशुपति नाथले हामी सबैको कल्याण गरून्।माता मनकामना माइ सदैब दाहिना रहुन
शुभ बिहानी पशुपति नाथले हामी सबैको कल्याण गरून्।माता मनकामना माइ सदैब दाहिना रहुन।कल्याणमस्तु:
शुभ बिहानी पशुपति नाथले हामी सबैको कल्याण गरून् । माता मनकामना माइ सदैब दाहिना रहुन ।शुभ बिहानि
"जब एउटा Joke मा त मान्छेहरू दुबारा हास्दैनन भने, फेरी एउटा दु:ख मा दुबारा किन रुनु?शुभ_प्रभात "
आफ्नो माता पिताको हात समात्नु अर्काको खुट्टा समात्ने आवश्यक पर्दैन । शुभ बिहानी 
सही बाटो हिंड्नुस्पैताला दुख्ला तर मन दुख्ने छैन  Good morning ️ शुभ_प्रभात ️
